animalGroup,category,bucket,percent,count
tiger,rating,rating3below,0,0
tiger,rating,rating3_35,0,0
tiger,rating,rating35_4,0,0
tiger,rating,rating4_45,100,1
tiger,rating,rating45above,0,0
tiger,type,typeDessert,0,0
tiger,type,typeFortified,0,0
tiger,type,typeRed,0,0
tiger,type,typeRose,0,0
tiger,type,typeSparkling,0,0
tiger,type,typeWhite,100,1
tiger,median,medianPrice,,89.99
tiger,median,medianRating,,4.4
tiger,median,steals,0,0
animal wine,price,Below $10,1.544660846205507,23
animal wine,price,$10–19.99,29.079919408999327,433
animal wine,price,$20–29.99,25.92343854936199,386
animal wine,price,$30–39.99,12.49160510409671,186
animal wine,price,$40–49.99,7.0517125587642715,105
animal wine,price,$50–59.99,4.499664204163868,67
animal wine,price,$60–69.99,4.029550033579583,60
animal wine,price,$70–79.99,2.552048354600403,38
animal wine,price,$80–89.99,1.9476158495634655,29
animal wine,price,$90–99.99,1.9476158495634655,29
animal wine,price,$100–109.99,0.8730691739422431,13
animal wine,price,$110–119.99,0.9402283411685695,14
animal wine,price,$120–129.99,0.5372733378106112,8
animal wine,price,$130–139.99,0.6715916722632639,10
animal wine,price,$140–149.99,0.5372733378106112,8
animal wine,price,$150+,5.372733378106111,80
animal wine,rating,rating3below,0.1343183344526528,2
animal wine,rating,rating3_35,6.111484217595701,91
animal wine,rating,rating35_4,52.71994627266622,785
animal wine,rating,rating4_45,39.62390866353257,590
animal wine,rating,rating45above,1.4103425117528543,21
animal wine,type,typeDessert,1.9476158495634655,
animal wine,type,typeFortified,1.4775016789791806,
animal wine,type,typeRed,41.302887844190735,
animal wine,type,typeRose,50.83948959032908,
animal wine,type,typeSparkling,6.447280053727333,
animal wine,type,typeWhite,40.83277367360645,
animal wine,median,medianPrice,,25.75
animal wine,median,medianRating,,4
animal wine,median,steals,23.10275352585628,344
all,price,Below $10,1.535323169422375,143
all,price,$10–19.99,24.629589864719776,2294
all,price,$20–29.99,25.26304487867726,2353
all,price,$30–39.99,13.77496242216019,1283
all,price,$40–49.99,8.12754992484432,757
all,price,$50–59.99,6.10908310070861,569
all,price,$60–69.99,4.273137212797939,398
all,price,$70–79.99,2.9525445565814903,275
all,price,$80–89.99,2.2117242860210435,206
all,price,$90–99.99,1.8788919905518575,175
all,price,$100–109.99,1.1917543482928923,111
all,price,$110–119.99,0.8374490015031136,78
all,price,$120–129.99,0.9770238350869659,91
all,price,$130–139.99,0.6119819626368906,57
all,price,$140–149.99,0.6334550139574834,59
all,price,$150+,4.992484432037793,465
all,rating,rating3below,0.11810178226325961,11
all,rating,rating3_35,4.9710113807172,463
all,rating,rating35_4,50.91260468112518,4742
all,rating,rating4_45,42.51664161477346,3960
all,rating,rating45above,1.4816405411208933,138
all,type,typeDessert,2.168778183379858,
all,type,typeFortified,1.470904015460597,
all,type,typeRed,42.9783122181662,
all,type,typeRose,8.12754992484432,
all,type,typeSparkling,7.794717629375134,
all,type,typeWhite,37.459738028773884,
all,median,medianPrice,,28.99
all,median,medianRating,,4
all,median,steals,23.12647627227829,2154
